OBJECTID;DEM_RÍO_MAGDALENA_tif;X;Y;DEM_RÍO_MAGDALENA_Band_1
389;70;-73,906249999999886;7,114583333333247;70,0000000
390;70;-73,931249999999892;7,110416666666580;70,0000000
391;68;-73,927083333333229;7,110416666666580;68,0000000
392;72;-73,922916666666552;7,110416666666580;72,0000000
393;71;-73,918749999999889;7,110416666666580;71,0000000
394;68;-73,902083333333223;7,110416666666580;68,0000000
395;68;-73,927083333333229;7,106249999999914;68,0000000
396;68;-73,922916666666552;7,106249999999914;68,0000000
397;71;-73,918749999999889;7,106249999999914;71,0000000
398;68;-73,922916666666552;7,102083333333247;68,0000000
399;69;-73,918749999999889;7,102083333333247;69,0000000
400;70;-73,922916666666552;7,097916666666580;70,0000000
401;68;-73,918749999999889;7,097916666666580;68,0000000
402;70;-73,914583333333226;7,097916666666580;70,0000000
403;70;-73,897916666666561;7,097916666666580;70,0000000
404;72;-73,918749999999889;7,093749999999914;72,0000000
405;69;-73,914583333333226;7,093749999999914;69,0000000
406;68;-73,910416666666563;7,093749999999914;68,0000000
407;68;-73,897916666666561;7,093749999999914;68,0000000
408;72;-73,918749999999889;7,089583333333247;72,0000000
409;72;-73,914583333333226;7,089583333333247;72,0000000
410;70;-73,910416666666563;7,089583333333247;70,0000000
411;68;-73,906249999999886;7,089583333333247;68,0000000
412;68;-73,902083333333223;7,089583333333247;68,0000000
413;68;-73,897916666666561;7,089583333333247;68,0000000
414;71;-73,906249999999886;7,085416666666580;71,0000000
415;68;-73,902083333333223;7,085416666666580;68,0000000
416;67;-73,897916666666561;7,085416666666580;67,0000000
417;68;-73,897916666666561;7,081249999999914;68,0000000
418;69;-73,893749999999883;7,081249999999914;69,0000000
419;67;-73,893749999999883;7,077083333333247;67,0000000
420;68;-73,889583333333221;7,077083333333247;68,0000000
421;70;-73,893749999999883;7,072916666666580;70,0000000
422;67;-73,889583333333221;7,072916666666580;67,0000000
423;68;-73,889583333333221;7,068749999999913;68,0000000
424;69;-73,885416666666558;7,068749999999913;69,0000000
425;68;-73,889583333333221;7,064583333333247;68,0000000
426;69;-73,885416666666558;7,064583333333247;69,0000000
427;70;-73,881249999999895;7,064583333333247;70,0000000
428;68;-73,889583333333221;7,060416666666580;68,0000000
429;74;-73,885416666666558;7,060416666666580;74,0000000
430;70;-73,881249999999895;7,060416666666580;70,0000000
431;70;-73,877083333333218;7,060416666666580;70,0000000
432;68;-73,889583333333221;7,056249999999913;68,0000000
433;72;-73,885416666666558;7,056249999999913;72,0000000
434;70;-73,881249999999895;7,056249999999913;70,0000000
435;67;-73,877083333333218;7,056249999999913;67,0000000
436;69;-73,889583333333221;7,052083333333247;69,0000000
437;71;-73,881249999999895;7,052083333333247;71,0000000
438;67;-73,877083333333218;7,052083333333247;67,0000000
439;68;-73,868749999999892;7,052083333333247;68,0000000
440;69;-73,889583333333221;7,047916666666580;69,0000000
441;69;-73,877083333333218;7,047916666666580;69,0000000
442;69;-73,889583333333221;7,043749999999913;69,0000000
443;71;-73,889583333333221;7,039583333333247;71,0000000
444;68;-73,885416666666558;7,039583333333247;68,0000000
445;71;-73,889583333333221;7,035416666666580;71,0000000
446;69;-73,885416666666558;7,035416666666580;69,0000000
447;70;-73,881249999999895;7,035416666666580;70,0000000
448;72;-73,877083333333218;7,035416666666580;72,0000000
449;69;-73,885416666666558;7,031249999999913;69,0000000
